itemName,settingName,vignette_start,vignette_continuation,question,priorElicitation_context,priorElicitation_question,taciturn,answer_template,itemQuestion,competitor,sameCategory,otherCategory,correct_response,character_template,questioner
cafe-pie,cafe,You are in a café. Today the café has ,\n\nA customer asks the waiter: ,Do you have raspberry cake?,Suppose someone wants,got,"I'm sorry, we don't have raspberry cake today.",We have *.,raspberry cake,raspberry pie,chocolate cookies,cheese pizza,main,The waiter replies: ,the customer
cafe-pizza,cafe,You are in a café. Today the café has ,\n\nA customer asks the waiter: ,Do you have veggie pizza?,Suppose you learn someone wants to have,had,"I'm sorry, we don't have veggie pizza today.",We have *.,veggie pizza,cheese pizza,pepperoni pizza,raspberry pie,main,The waiter replies: ,the customer
bar-whiteWine,bar,You are at a hotel bar. The bar serves only ,\n\nA woman walks in. She says to the bartender:,Do you have Sauvignon Blanc?,Suppose you learn someone wants to have,had,"I'm sorry, we don't have Sauvignon Blanc today.",We have *.,Sauvignon Blanc,Chardonnay,craft beer,iced coffee,main,The bartender replies: ,the woman
bar-tea,bar,You are a bartender in a hotel bar. The bar serves only ,\n\nA woman walks in. She says to the bartender:,Do you have iced tea?,Suppose you learn someone wants to have,had,"I'm sorry, we don't have iced tea today.",We have *.,iced tea,iced coffee,soda,Chardonnay,main,The bartender replies: ,the woman
touristInfo-childTheatre,touristInfo,You are at a tourist office in a medium-sized tourist town. Today the following events are happening: ,\n\nA young woman walks in and asks the consultant:,Is there a theatre performance for children today?,Suppose you learn wants to go to,went to,"I'm sorry, there is no theatre performance for children today.",There is *.,a theatre performance for children,a circus show,a trade fare,a club event with a hip hop DJ,main,The consultant replies: ,the young woman
touristInfo-clubbing,touristInfo,You are at a tourist office in a medium-sized tourist town. Today the following events are happening: ,\n\nA young woman walks in and asks the consultant:,Is there a club event with electronic music today?,Suppose you learn wants to go to,went to,"I'm sorry, there is no club event with electronic music today.",There is *.,a club event with electronic music,a club event with a hip hop DJ,live jazz music,a circus show,main,The consultant replies: ,the young woman
bookingAgency-lowClassAccommodation,bookingAgency,You are in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: ,\n\nA young man walks in and asks the agent:,Is there a bed in the youth hostel available for tomorrow night?,Suppose you learn a tourist calling a booking agency wants to book,want to book,"I'm sorry, there are no more beds available in the youth hostel available for tomorrow night.",There is *.,a bed in the youth hostel,a room in a cheap bed-and-breakfast,a room in a budget hotel,a suite in a four-star hotel,main,The agent replies: ,the young man
bookingAgency-highClassAccommodation,bookingAgency,You are in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: ,\n\nAn older man walks in and asks the agent: ,Is a single room in a five-star hotel available for tomorrow night?,Suppose you learn a tourist calling a booking agency wants to book,want to book,"I'm sorry, there is no single room in a five-star hotel available for tomorrow night.",There is *.,a single room in a five-star hotel,a suite in a four-star hotel,an expensive apartment close to the city,a room in a cheap bed-and-breakfast,main,The agent replies: ,the older man
waterSport-motor,waterSport,You are at a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers ,\n\nA customer calls on the phone and asks the agent:,Do you rent jet skis?,Suppose you learn a customer at a water sports rental agency of a popular resort with a large lake wants to rent,want to rent,"I'm sorry, we don’t rent jet skis.",We rent *.,jet skis,water ski equipment,rubber dinghies,kayaks,main,The agent replies: ,the customer
waterSport-muscle,waterSport,You are at a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers ,\n\nA customer calls on the phone and asks the agent:,Do you rent canoes?,Suppose you learn a customer at a water sports rental agency of a popular resort with a large lake wants to rent,want to rent,"I'm sorry, we don’t rent canoes.",We rent *.,canoes,kayaks,pedal boats,water ski equipment,main,The agent replies: ,the customer
dutyFree-smokes,dutyFree,You are on an old-fashioned international flight. The flight attendants are selling duty-free items to passengers. The flight attendants currently have the following items on offer: ,"\n\nAs a flight attendant walks by, a passenger asks:",Do you sell cigars?,Suppose you learn a passenger on an old-fashioned international flight would like to purchase,like to purchase,"I'm sorry, we don’t sell cigars.",We sell *.,cigars,cigarettes,gin,gingerbread,main,The flight attendant replies: ,the passenger
dutyFree-sweets,dutyFree,You are on an old-fashioned international flight. The flight attendants are selling duty-free items to passengers. The flight attendants currently have the following items on offer: ,"\n\nAs a flight attendant walks by, a passenger asks:",Do you sell cookies?,Suppose you learn a passenger on an old-fashioned international flight would like to purchase,like to purchase,"I'm sorry, we don’t sell cookies.",We sell *.,cookies,gingerbread,granola bars,cigarettes,main,The flight attendant replies: ,the passenger
clothing-clothes,clothing,You are at a small designer clothing store. The store currently has the following items in stock: ,\n\nA customer comes in and asks the sales assistant:,Do you have any Hawaiian shirts?,Suppose you learn a customer at a small designer shop is looking for,be looking for,"I'm sorry, we don’t have any Hawaiian shirts.",We have *.,Hawaiian shirts,shorts,sweatshirts,necklaces,main,The sales assistant replies: ,the customer
clothing-acc,clothing,You are at a small designer clothing store. The store currently has the following items in stock: ,\n\nA customer comes in and asks the sales assistant:,Do you have any earrings?,Suppose you learn a customer at a small designer shop is looking for,be looking for,"I'm sorry, we don’t have any earrings.",We have *.,earrings,necklaces,sunglasses,shorts,main,The sales assistant replies: ,the customer
petAdoption-dogs,petAdoption,You are at an adoption center for rescued animals. Currently there are the following animals at the center: ,\n\nA family comes in and asks an employee:,Do you have any Dalmatians?,Suppose you learn a family visiting a pet shelter is interested in adopting,be interested in adopting,"I'm sorry, we don’t have any dalmatians.",We have *.,dalmatians,golden retrievers,chihuahuas,gerbils,main,The employee replies: ,the family
petAdoption-hamster,petAdoption,You are at an adoption center for rescued animals. Currently there are the following animals at the center: ,\n\nA family comes in and asks an employee:,Do you have any hamsters?,Suppose someone wants to have,had,"I'm sorry, we don’t have any hamsters.",We have *.,hamsters,gerbils,ferrets,golden retrievers,main,The employee replies: ,the family
books-romance,books,You are at a bookshop in a small town. The shop currently has ,\n\nA student walks in and asks the cashier:,Do you have a book of love poems?,Suppose you learn a person at a book store is looking for,be interested in,"I’m sorry, we don’t have love poems.",We sell *.,love poems,books of French love letters,historical dramas,mystery novels,main,The cashier replies: ,the student
books-fantasy,books,You are at a bookshop in a small town. The shop currently has ,\n\nA student walks in and asks the cashier:,Do you sell psychological thrillers?,Suppose you learn a person at a book store is looking for,be interested in,"I’m sorry, we don’t sell psychological thrillers.",We sell *.,psychological thrillers,mystery novels,adventure novels,books of French love letters,main,The cashier replies: ,the student
electronics-laptop,electronics,You are at a second hand electronics store. The store currently has ,\n\nA young man walks in and asks the sales assistant:,Do you have a MacBook Pro?,Suppose someone wants,got,"I’m sorry, we don’t have a MacBook Pro.",We have *.,a MacBook Pro,a MacBook Air,a desktop computer,an Xbox,main,The sales assistant replies: ,the young man
electronics-console,electronics,You are at a second hand electronics store. The store currently has ,\n\nA young man walks in and asks the sales assistant:,Do you have a PlayStation?,Suppose you learn a customer walks into a second hand electronics store and is looking for,be looking for,"I’m sorry, we don’t have a PlayStation.",We have *.,a PlayStation,an Xbox,a Gameboy,a MacBook Air,main,The sales assistant replies: ,the young man
gym-yoga,gymActivities,You are at the reception desk of a gym. The gym currently offers ,\n\nA woman walks in and asks the receptionist:,Do you offer yoga classes?,Suppose you learn a customer at a gym would like to participate in,like to participate in,"I’m sorry, we don’t have yoga.",We have *.,yoga classes,a pilates class,zumba classes,kickboxing,main,The receptionist replies: ,the woman
gym-boxing,gymActivities,You are at the reception desk of a gym. The gym currently offers ,\n\nA woman walks in and asks the receptionist:,Do you offer boxing classes?,Suppose you learn a customer at a gym would like to participate in,like to participate in,"I’m sorry, we don’t have boxing.",We have *.,boxing classes,kickboxing classes,karate classes,pilates,main,The receptionist replies: ,the woman
kidsActivities-crafts,kidsActivities,You are at a children’s summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers ,\n\nA kid walks up to a teacher and asks:,Is there a pottery class?,Suppose you learn a kid who just arrived at a summer camp wants to sign up for,like to sign up for,"I'm sorry, there is no pottery class.",There is *.,a pottery class,a watercolor painting class,a carpentry workshop,an acrobatics class,main,The teacher replies: ,the kid
kidsActivities-sports,kidsActivities,You are at a children’s summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers ,\n\nA kid walks up to a teacher and asks:,Is there a gymnastics class?,Suppose you learn a kid who just arrived at a summer camp wants to sign up for,like to sign up for,"I'm sorry, there is no gymnastics class.",There is *.,a gymnastics class,an acrobatics class,a karate class,a watercolor painting class,main,The teacher replies: ,the kid
friendsActivities-boardGames,friendsActivities,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared ",\n\nOne friend asks the host:,Do you have Scrabble?,Suppose you learn that some friends who will come over to your house want to spend the evening with,want to spend the evening with,"I'm sorry, I don't have Scrabble.",I have *.,Scrabble,Monopoly,checkers,some movies,main,The host replies: ,the friend
friendsActivities-videoEntertainment,friendsActivities,"You are at a casual Saturday night get together with your friends at a friend’s house. For activities, the friend prepared ",\n\nOne friend asks the host:,Do you have Netflix?,Suppose you learn that some friends who will come over to your house want to spend the evening with,want to spend the evening with,"I'm sorry, I don't have Netflix.",I have *.,Netflix,some movies,Xbox games,Monopoly,main,The host replies: ,the friend
interior-green,interior,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has ,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have an aloe vera plant?,Suppose someone wants,got,"I'm sorry, I don’t have an aloe vera.",I have *.,an aloe vera plant,an agave plant,tulips,an oil painting,main,Your aunt replies: ,the friend
interior-deco,interior,Your aunt likes to decorate the house and often crafts decorations herself. She often gives away crafts and plants to friends and family. Your aunt currently has ,\n\nA friend just moved and wants to get something to decorate her new apartment. She visits your aunt and asks her:,Do you have watercolour paintings?,Suppose you learn that a friend who just moved into a new apartment wants to decorate it with,want to decorate it with,"I'm sorry, I don’t have watercolor paintings.",I have *.,watercolor paintings,an oil painting,some printed photographs,an agave plant,main,Your aunt replies: ,the friend
zoo-xl,zoo,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the tiger?,Suppose you learn that a kid visiting a zoo wants to see,want to see,"I’m sorry, they don’t have a tiger here.",They have *.,a tiger,a lion,a giraffe,iguanas,main,Your friend replies: ,the kid
zoo-reptiles,zoo,You and a group of friends are at the zoo today. You all carefully studied the map of the zoo and saw that there is,\n\nOne friend with an eight-year-old kid arrives late. The kid runs up to one of your friend impatiently and asks:,Can we see the chameleon?,Suppose you learn that a kid visiting a zoo wants to see,want to see,"I'm sorry, they don't have chameleons here.",They have *.,a chameleon,iguanas,turtles,a lion,main,Your friend replies: ,the kid